,ts_code
0,000048.SZ
1,000157.SZ
2,000401.SZ
3,000425.SZ
4,000524.SZ
5,000547.SZ
6,000568.SZ
7,000661.SZ
8,000672.SZ
9,000682.SZ
10,000690.SZ
11,000739.SZ
12,000858.SZ
13,000875.SZ
14,000877.SZ
15,000880.SZ
16,000906.SZ
17,000958.SZ
18,000961.SZ
19,000963.SZ
20,000966.SZ
21,002020.SZ
22,002080.SZ
23,002111.SZ
24,002140.SZ
25,002214.SZ
26,002226.SZ
27,002234.SZ
28,002243.SZ
29,002278.SZ
30,002299.SZ
31,002302.SZ
32,002353.SZ
33,002371.SZ
34,002381.SZ
35,002392.SZ
36,002409.SZ
37,002438.SZ
38,002457.SZ
39,002458.SZ
40,002463.SZ
41,002465.SZ
42,002557.SZ
43,002579.SZ
44,002591.SZ
45,002605.SZ
46,002621.SZ
47,002639.SZ
48,002641.SZ
49,002669.SZ
50,002683.SZ
51,002687.SZ
52,002698.SZ
53,002724.SZ
54,002746.SZ
55,002760.SZ
56,002799.SZ
57,002803.SZ
58,002810.SZ
59,002812.SZ
60,002819.SZ
61,002832.SZ
62,002867.SZ
63,002912.SZ
64,002916.SZ
65,600007.SH
66,600031.SH
67,600167.SH
68,600202.SH
69,600223.SH
70,600336.SH
71,600352.SH
72,600436.SH
73,600456.SH
74,600459.SH
75,600466.SH
76,600496.SH
77,600529.SH
78,600532.SH
79,600565.SH
80,600570.SH
81,600588.SH
82,600673.SH
83,600702.SH
84,600763.SH
85,600779.SH
86,600794.SH
87,600801.SH
88,600805.SH
89,600819.SH
90,600866.SH
91,600871.SH
92,600872.SH
93,600882.SH
94,600984.SH
95,601100.SH
96,601226.SH
97,601369.SH
98,601799.SH
99,601898.SH
100,601992.SH
101,603000.SH
102,603012.SH
103,603033.SH
104,603288.SH
105,603333.SH
106,603345.SH
107,603360.SH
108,603368.SH
109,603505.SH
110,603508.SH
111,603517.SH
112,603538.SH
113,603558.SH
114,603606.SH
115,603609.SH
116,603800.SH
117,603819.SH
118,603855.SH
119,603878.SH
120,603916.SH
121,603918.SH
122,603920.SH
123,603936.SH
124,603987.SH
125,603988.SH
